,,
,,
,,
India," 1,417,173 ",
China," 1,412,175 ",
United States," 333,288 ",
Indonesia," 275,501 ",
Pakistan," 235,825 ",
Nigeria," 218,541 ",
Brazil," 215,313 ",
Bangladesh," 171,186 ",
Russian Federation," 143,556 ",
Mexico," 127,504 ",
Japan," 125,125 ",
Ethiopia," 123,380 ",
Philippines," 115,559 ",
"Egypt, Arab Rep."," 110,990 ",
"Congo, Dem. Rep."," 99,010 ",
Vietnam," 98,187 ",
"Iran, Islamic Rep."," 88,551 ",
Türkiye," 85,341 ",
Germany," 84,080 ",
Thailand," 71,697 ",
France," 67,936 ",
United Kingdom," 66,971 ",
Tanzania," 65,498 ",
South Africa," 59,894 ",
Italy," 58,857 ",
Myanmar," 54,179 ",
Kenya," 54,027 ",
Colombia," 51,874 ",
"Korea, Rep."," 51,628 ",
Spain," 47,615 ",
Uganda," 47,250 ",
Sudan," 46,874 ",
Argentina," 46,235 ",
Algeria," 44,903 ",
Iraq," 44,496 ",
Afghanistan," 41,129 ",
Canada," 38,930 ",
Ukraine," 38,000 ",
Poland," 37,562 ",
Morocco," 37,458 ",
Saudi Arabia," 36,409 ",
Uzbekistan," 35,648 ",
Angola," 35,589 ",
Peru," 34,050 ",
Malaysia," 33,938 ",
"Yemen, Rep."," 33,697 ",
Ghana," 33,476 ",
Mozambique," 32,970 ",
Nepal," 30,548 ",
Madagascar," 29,612 ",
"Venezuela, RB"," 28,302 ",
Côte d'Ivoire," 28,161 ",
Cameroon," 27,915 ",
Niger," 26,208 ",
"Korea, Dem. People's Rep."," 26,069 ",
Australia," 25,979 ",
Burkina Faso," 22,674 ",
Mali," 22,594 ",
Sri Lanka," 22,181 ",
Syrian Arab Republic," 22,125 ",
Malawi," 20,405 ",
Zambia," 20,018 ",
Kazakhstan," 19,622 ",
Chile," 19,604 ",
Romania," 18,957 ",
Ecuador," 18,001 ",
Chad," 17,723 ",
Netherlands," 17,703 ",
Somalia," 17,598 ",
Guatemala," 17,358 ",
Senegal," 17,316 ",
Cambodia," 16,768 ",
Zimbabwe," 16,321 ",
Guinea," 13,859 ",
Rwanda," 13,777 ",
Benin," 13,353 ",
Burundi," 12,890 ",
Tunisia," 12,356 ",
Bolivia," 12,224 ",
Belgium," 11,669 ",
Haiti," 11,585 ",
Jordan," 11,286 ",
Dominican Republic," 11,229 ",
Cuba," 11,212 ",
South Sudan," 10,913 ",
Greece," 10,567 ",
Czech Republic," 10,526 ",
Sweden," 10,487 ",
Honduras," 10,433 ",
Portugal," 10,379 ",
Azerbaijan," 10,175 ",
Papua New Guinea," 10,143 ",
Tajikistan," 9,953 ",
Hungary," 9,684 ",
Israel," 9,551 ",
United Arab Emirates," 9,441 ",
Belarus," 9,209 ",
Austria," 9,043 ",
Togo," 8,849 ",
Switzerland," 8,770 ",
Sierra Leone," 8,606 ",
Lao PDR," 7,529 ",
"Hong Kong SAR, China"," 7,346 ",
Nicaragua," 6,948 ",
Libya," 6,812 ",
Kyrgyz Republic," 6,803 ",
Paraguay," 6,781 ",
Serbia," 6,760 ",
Bulgaria," 6,465 ",
Turkmenistan," 6,431 ",
El Salvador," 6,336 ",
"Congo, Rep."," 5,970 ",
Denmark," 5,903 ",
Singapore," 5,637 ",
