Rank,Country,Life Expectancy (both sexes),Females Life Expectancy,Males Life Expectancy
1,Hong Kong,85.77,88.39,83.1
2,Japan,85,88.03,81.99
3,South Korea,84.53,87.4,81.44
4,French Polynesia,84.31,86.74,82.03
5,Switzerland,84.23,86.06,82.34
6,Australia,84.21,85.97,82.43
7,Italy,84.03,86.01,81.94
8,Singapore,84,86.48,81.53
9,Spain,83.96,86.59,81.27
10,Réunion,83.8,86.57,80.81
11,Malta,83.63,85.51,81.69
12,Norway,83.61,85.09,82.11
13,France,83.58,86.31,80.73
14,Sweden,83.58,85.34,81.84
15,Macao,83.42,85.49,81.26
16,United Arab Emirates,83.23,84.44,82.37
17,Iceland,83.15,84.57,81.8
18,Martinique,82.89,85.84,79.63
19,Canada,82.88,85.03,80.74
20,Israel,82.77,84.81,80.67
21,Ireland,82.75,84.72,80.79
22,Portugal,82.72,85.37,79.89
23,Qatar,82.68,83.6,81.96
24,Luxembourg,82.49,84.06,80.91
25,Netherlands,82.45,83.98,80.89
26,Belgium,82.43,84.57,80.26
27,Guadeloupe,82.4,85.77,78.56
28,New Zealand,82.39,84,80.77
29,Austria,82.29,84.57,79.97
30,Denmark,82.25,84.1,80.39
31,Finland,82.24,84.91,79.6
32,Greece,82.22,84.6,79.74
33,Puerto Rico,82.08,85.5,78.5
34,Cyprus,81.99,83.93,80.05
35,Slovenia,81.94,84.58,79.33
36,Germany,81.71,84.01,79.42
37,United Kingdom,81.6,83.45,79.72
38,Bahrain,81.58,82.26,81.03
39,Chile,81.54,83.37,79.67
40,Maldives,81.51,83.17,80.2
41,Costa Rica,81.19,83.72,78.6
42,Taiwan,80.94,83.88,78.09
43,Kuwait,80.78,82.15,79.63
44,Oman,80.45,82.21,78.95
45,Czech Republic (Czechia),80.11,82.85,77.35
46,Panama,79.96,82.84,77.1
47,Albania,79.95,81.74,78.12
48,United States,79.61,82.11,77.22
49,Estonia,79.48,83.3,75.35
50,Saudi Arabia,79.19,81.51,77.56
51,New Caledonia,79.07,81.53,76.63
52,Poland,78.98,82.61,75.31
53,Croatia,78.92,81.95,75.8
54,Slovakia,78.65,81.84,75.41
55,Uruguay,78.45,82.17,74.59
56,Cuba,78.45,80.84,76.06
57,China,78.37,81.25,75.65
58,Bosnia and Herzegovina,78.24,81.23,74.88
59,Jordan,78.13,80.46,76.06
60,Peru,78.12,80.45,75.82
61,Colombia,78.09,80.77,75.36
62,Lebanon,78.08,79.99,76.02
63,Iran,78.05,79.99,76.22
64,Antigua and Barbuda,77.94,80.6,74.93
65,Sri Lanka,77.85,80.9,74.65
66,Turkey,77.82,80.82,74.94
67,Ecuador,77.76,80.46,75.08
68,Argentina,77.69,80.16,75.14
69,North Macedonia,77.68,79.83,75.41
70,Guam,77.63,81.74,73.89
71,Montenegro,77.43,80.6,74.12
72,French Guiana,77.37,80.3,74.52
73,Hungary,77.33,80.46,74.07
74,Curaçao,77.17,81.1,72.87
75,Serbia,77.14,80.35,73.89
76,Malaysia,76.99,79.67,74.63
77,Tunisia,76.9,79.5,74.34
78,Thailand,76.83,81.17,72.65
79,Algeria,76.69,78.13,75.3
80,Aruba,76.64,79.06,73.99
81,Barbados,76.49,78.91,73.93
82,Latvia,76.48,80.72,71.94
83,Mayotte,76.42,78.68,74.45
84,Cabo Verde,76.4,79.53,73.25
85,Lithuania,76.32,80.92,71.61
86,Romania,76.25,79.82,72.74
87,Brazil,76.2,79.3,73.14
88,Armenia,76.01,79.73,71.76
89,Bulgaria,75.96,79.51,72.52
90,U.S. Virgin Islands,75.92,81.6,70.95
91,Morocco,75.68,77.96,73.54
92,Brunei,75.67,77.9,73.65
93,Grenada,75.52,78.64,72.67
94,Mexico,75.45,78.17,72.63
95,Mauritius,75.27,78.5,72.28
96,Nicaragua,75.27,77.74,72.64
97,Bangladesh,75.19,76.94,73.55
98,Vietnam,74.88,79.49,70.23
99,Ukraine,74.86,79.54,69.99
100,Bahamas,74.86,78.46,71.21
101,Georgia,74.82,79.36,69.93
102,Belarus,74.79,79.37,69.94
103,Azerbaijan,74.73,77.44,71.86
104,Kazakhstan,74.67,78.65,70.43
105,Paraguay,74.11,77.22,71.14
106,Dominican Republic,73.99,77.23,70.79
107,Belize,73.9,76.83,71.23
108,Suriname,73.9,77.12,70.73
109,North Korea,73.86,76.02,71.66
110,Trinidad and Tobago,73.75,76.96,70.64
111,Bhutan,73.53,75.55,71.82
112,Russia,73.52,79.32,67.69
113,Tonga,73.23,76.69,69.64
114,Honduras,73.22,75.85,70.65
115,Libya,73.19,75.26,71.23
116,Seychelles,73.14,76.83,70.23
117,State of Palestine,73.1,76.86,69.72
118,Saint Lucia,73,76.6,69.6
119,Syria,72.99,75.42,70.58
120,Guatemala,72.89,75.21,70.57
121,Venezuela,72.84,76.82,69.05
122,Uzbekistan,72.66,75.7,69.68
123,Iraq,72.53,74.33,70.59
124,El Salvador,72.52,76.7,67.99
125,India,72.48,74.13,70.95
126,Mongolia,72.24,76.88,67.75
127,Tajikistan,72.05,74.29,69.78
128,Egypt,71.99,74.22,69.82
129,Kyrgyzstan,71.97,75.56,68.44
130,Samoa,71.95,73.97,70.06
131,Vanuatu,71.84,74.31,69.74
132,Micronesia,71.81,74.79,68.97
133,Micronesia,71.81,74.79,68.97
134,Western Sahara,71.78,73.99,70.06
135,Jamaica,71.73,74.3,69.17
136,St. Vincent & Grenadines,71.51,74.62,68.89
137,Moldova,71.47,75.81,66.83
138,Indonesia,71.44,73.61,69.29
139,Cambodia,70.97,73.53,68.29
140,Nepal,70.9,72.42,69.32
141,Solomon Islands,70.83,72.34,69.47
142,Guyana,70.45,74.22,66.73
143,Turkmenistan,70.33,73.17,67.13
144,Sao Tome & Principe,70.08,74.08,66.57
145,Philippines,70.07,73.11,67.1
146,Yemen,69.58,71.71,67.49
147,Laos,69.47,71.8,67.25
148,Botswana,69.43,72.01,66.9
149,Senegal,69.16,71.26,67.21
150,Eritrea,69.15,71.22,67
151,Mauritania,68.94,70.97,66.9
152,Bolivia,68.91,71.51,66.42
153,Uganda,68.71,71.6,65.7
154,Gabon,68.7,71.45,66.23
155,Rwanda,68.24,70.39,65.92
156,Timor-Leste,68.13,69.92,66.47
157,Pakistan,67.94,70.47,65.58
158,Ethiopia,67.88,71.3,64.62
159,Malawi,67.74,70.96,64.45
160,Namibia,67.66,71.63,63.6
161,Fiji,67.62,69.72,65.6
162,Tanzania,67.42,70.21,64.59
163,Myanmar,67.3,70.59,64.18
164,Comoros,67.25,69.45,65.22
165,Kiribati,66.72,68.48,64.79
166,Sudan,66.7,70.02,63.61
167,Zambia,66.7,69.07,64.25
168,Afghanistan,66.54,68.08,64.94
169,South Africa,66.49,69.97,62.95
170,Djibouti,66.41,68.96,63.92
171,Papua New Guinea,66.39,69.34,63.94
172,Gambia,66.25,67.96,64.53
173,Congo,66.2,67.94,64.51
174,Ghana,65.89,68.36,63.49
175,Haiti,65.3,68.67,62.07
176,Angola,64.98,67.54,62.44
177,Guinea-Bissau,64.41,66.72,61.96
178,Eswatini,64.4,67.26,61.45
179,Cameroon,64.25,66.52,62.05
180,Equatorial Guinea,64.1,66.1,62.4
181,Madagascar,64.04,65.82,62.31
182,Kenya,64.01,66.32,61.8
183,Burundi,63.97,66.06,61.89
184,Mozambique,63.97,66.93,60.66
185,Zimbabwe,63.35,65.61,60.75
186,Togo,63.14,63.39,62.87
187,Liberia,62.47,63.8,61.14
188,Côte d'Ivoire,62.28,64.49,60.32
189,DR Congo,62.23,64.4,60.1
190,Sierra Leone,62.15,63.9,60.41
191,Niger,61.66,62.66,60.69
192,Burkina Faso,61.47,63.62,59.28
193,Benin,61.14,62.61,59.68
194,Guinea,61.06,62.27,59.8
195,Mali,60.89,62.38,59.46
196,Somalia,59.11,61.7,56.63
197,Lesotho,58.22,60.87,55.44
198,Central African Republic,57.9,59.8,55.73
199,South Sudan,57.85,60.86,54.87
200,Chad,55.43,57.39,53.54
201,Nigeria,54.78,55.12,54.45
